ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10230953,HY418703,09/10/2015 11:56:00 PM,048XX W NORTH AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,false,false,2533,025,37,25,04B,1143637,1910194,2015,09/17/2015 11:37:18 AM,41.909605035,-87.747777145,"(41.909605035, -87.747777145)"
10230979,HY418750,09/10/2015 11:55:00 PM,120XX S PARNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,false,0523,005,34,53,08B,1174806,1825089,2015,09/17/2015 11:37:18 AM,41.675427135,-87.63581257,"(41.675427135, -87.63581257)"
10231208,HY418843,09/10/2015 11:50:00 PM,021XX W BERWYN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2012,020,40,4,06,1161036,1935171,2015,09/17/2015 11:37:18 AM,41.97779966,-87.683164484,"(41.97779966, -87.683164484)"
10230943,HY418702,09/10/2015 11:45:00 PM,009XX N DRAKE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1121,011,27,23,08B,1152539,1906092,2015,09/17/2015 11:37:18 AM,41.898177341,-87.71518334,"(41.898177341, -87.71518334)"
10230974,HY418690,09/10/2015 11:35:00 PM,038XX W HARRISON ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,STREET,false,false,1133,011,24,26,03,1151141,1897093,2015,09/17/2015 11:37:18 AM,41.873510659,-87.720554136,"(41.873510659, -87.720554136)"
10233462,HY421628,09/10/2015 11:30:00 PM,049XX W GLADYS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1533,015,24,25,11,1143652,1897891,2015,09/17/2015 11:37:18 AM,41.875843892,-87.748030348,"(41.875843892, -87.748030348)"
10231069,HY418804,09/10/2015 11:30:00 PM,016XX W 79TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0611,006,21,71,06,1166608,1852321,2015,09/17/2015 11:37:18 AM,41.75033427,-87.665045312,"(41.75033427, -87.665045312)"
10230957,HY418714,09/10/2015 11:30:00 PM,056XX S KARLOV AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0813,008,13,62,06,1149996,1866916,2015,09/17/2015 11:37:18 AM,41.790723284,-87.725541949,"(41.790723284, -87.725541949)"
10231724,HY419244,09/10/2015 11:30:00 PM,002XX S LOTUS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1522,015,29,25,14,1139915,1898582,2015,09/17/2015 11:37:18 AM,41.877809197,-87.761734553,"(41.877809197, -87.761734553)"
10230986,HY418698,09/10/2015 11:30:00 PM,016XX E 67TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0331,003,5,42,08A,1188443,1860888,2015,09/17/2015 11:37:18 AM,41.773349622,-87.584759546,"(41.773349622, -87.584759546)"
